#Filenum,Time,flux,errFlux,weightMean,errWeightMean,ratio,ratioErr
207,19.702067,299873,397,25038.574072,44.692088,11.976441,0.026615
208,19.811533,295413,395,24960.245958,44.870870,11.835340,0.026516
209,19.920733,305349,401,27384.021217,46.239634,11.150627,0.023853
210,20.030200,299510,397,28112.633968,46.609501,10.653929,0.022615
211,20.139650,296009,395,28243.023130,47.101372,10.480783,0.022386
212,20.248850,302740,399,29476.434669,47.787304,10.270577,0.021459
213,20.358317,298339,396,29487.603285,47.865200,10.117438,0.021215
214,20.467767,304210,400,29533.408803,47.882452,10.300538,0.021502
215,20.577233,300077,398,29340.900215,47.833151,10.227259,0.021494
216,20.686700,301400,398,29569.942800,48.042135,10.192783,0.021340
217,20.796150,303076,399,29557.208035,47.931862,10.253878,0.021418
218,20.905617,305289,401,29701.941765,48.082122,10.278419,0.021427
219,21.014817,301213,398,29546.495468,48.061648,10.194542,0.021364
220,21.124267,297499,396,29577.042455,48.047126,10.058443,0.021124
221,21.233467,306218,401,29627.811600,48.054817,10.335492,0.021545
222,21.343200,304537,400,29754.713182,48.148815,10.234916,0.021331
223,21.452650,297071,396,29567.665604,48.064677,10.047158,0.021122
224,21.561850,301597,399,29791.004990,48.128517,10.123761,0.021139
225,21.671317,303845,400,29412.441780,47.926118,10.330492,0.021640
226,21.781033,299587,397,29781.731462,48.190161,10.059422,0.021039
227,21.890500,306969,402,29464.488067,47.935391,10.418270,0.021758
228,22.000217,312810,405,29777.714383,48.070319,10.504836,0.021738
229,22.109933,299353,397,29568.929880,47.916389,10.123904,0.021199
230,22.219400,308744,403,29813.867417,48.157978,10.355718,0.021506
231,22.328850,305597,401,29601.420057,47.922514,10.323728,0.021514
232,22.438317,294797,394,29755.852101,48.109476,9.907194,0.020782
233,22.547517,299577,397,29638.955227,48.018400,10.107543,0.021156
234,22.656983,296195,395,29524.304658,47.995976,10.032243,0.021094
235,22.766700,304142,400,29679.768496,48.069543,10.247452,0.021380
236,22.876150,298646,397,29658.824468,48.024763,10.069381,0.021095
237,22.985883,299626,397,29538.158698,48.033403,10.143693,0.021277
238,23.095333,301363,398,29775.947122,48.121124,10.121021,0.021124
239,23.204800,300994,398,29729.139836,48.082122,10.124545,0.021151
240,23.314000,300928,398,29646.431499,48.020669,10.150564,0.021226
241,23.423717,300341,398,29558.780395,48.015832,10.160805,0.021301
242,23.532917,295752,395,29698.434795,48.081984,9.958505,0.020901
243,23.642383,300364,398,29587.016820,48.001262,10.151885,0.021265
244,23.751833,299476,397,29765.403695,48.208390,10.061211,0.021058
245,23.861300,306523,402,29718.126687,48.082800,10.314345,0.021482
246,23.970767,304293,400,29806.267907,48.079213,10.209027,0.021243
247,24.079967,298842,397,29652.054973,47.871714,10.078290,0.021071
248,24.189167,302300,399,29751.778841,48.077504,10.160737,0.021200
