
Nov 12 20:03 [nebula_avg.cal.fits[*,1,1]]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  4686.096 -3.70E-15 -1.27E-11     INDEF -3.87E-12     3.091        0.
  4736.587 -3.58E-16 1.874E-11     INDEF 3.248E-12     5.419        0.
  4792.327 3.325E-15 3.433E-10  -103232. 5.640E-13     571.8        0.
  4749.245 6.652E-15 1.037E-11    -1559. 6.562E-13     14.85        0.
   4766.38 3.316E-15 8.987E-12    -2710. 7.660E-13     11.02        0.
    center      cont      flux       eqw      core     gfwhm     lfwhm
  4765.735 1.076E-15 1.060E-11    -9853. 7.736E-13     12.88        0.
  4765.736 1.083E-15 1.060E-11    -9790. 7.736E-13     12.88        0.
  4765.736 1.053E-15 1.060E-11   -10066. 7.736E-13     12.88        0.
   4765.55 2.923E-15 1.007E-11    -3444. 7.832E-13     12.08        0.
  4751.448 2.322E-15 8.413E-12    -3624. 6.668E-13     11.85        0.
  4751.431 3.373E-15 8.368E-12    -2481. 6.660E-13      11.8        0.
  4750.872 -4.79E-16 9.458E-12     INDEF 6.696E-13     13.27        0.
  4722.018 1.082E-15 9.862E-12    -9116. 7.262E-13     12.76        0.
   4721.69 4.902E-15 7.990E-12    -1630. 7.735E-13     9.704        0.
  4721.651 2.864E-15 8.111E-12    -2832. 7.735E-13      9.85        0.
    center      cont      flux       eqw      core     gfwhm     lfwhm
  4538.208 9.231E-15 3.939E-13    -42.67 1.065E-13     3.475        0.
  4535.799 9.360E-15 2.416E-11    -2581. 7.307E-13     31.07        0.
  4548.088 8.702E-15 -5.22E-12     600.3 -4.29E-13     11.44        0.
  4585.447 6.700E-15 2.536E-11    -3785. 5.183E-13     45.97        0.
  4641.807 3.680E-15 2.724E-11    -7402. 8.887E-13      28.8        0.
  4275.888 -7.76E-15 1.460E-13     INDEF 7.804E-15     17.58        0.
  4583.021 2.600E-15 2.951E-11   -11349. 5.113E-13     54.21        0.
  4642.185 4.597E-15 2.632E-11    -5725. 8.626E-13     28.66        0.
    center      cont      flux       eqw      core     gfwhm     lfwhm
  4641.418 3.522E-15 2.809E-11    -7975. 8.859E-13     29.79        0.
  4641.483 1.519E-15 2.808E-11   -18486. 8.896E-13     29.65        0.

Nov 21 14:42 [nebula_avg.cal.fits[*,1,1]]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  4468.264 5.693E-15 1.366E-11    -2400. 1.343E-12     9.555        0.
  4484.232 4.811E-15 9.497E-12    -1974. 1.059E-12     8.426        0.
  4497.086 4.102E-15 1.157E-11    -2822. 9.698E-13     11.21        0.
  4514.838 3.122E-15 9.668E-12    -3097. 7.072E-13     12.84        0.
  4527.734 2.410E-15 3.584E-12    -1487. 5.737E-13     5.868        0.
  4537.264 1.884E-15 1.082E-11    -5744. 8.254E-13     12.32        0.
  4468.262 -1.09E-14 1.400E-11     INDEF 1.358E-12     9.684        0.
   4484.16 -5.85E-15 9.601E-12     INDEF 1.068E-12     8.444        0.
   4497.19 -1.68E-15 1.167E-11     INDEF 9.756E-13     11.24        0.
  4514.675 3.915E-15 9.674E-12    -2471. 7.064E-13     12.87        0.
  4527.917 8.154E-15 3.861E-12    -473.5 6.017E-13     6.029        0.
  4537.297 1.116E-14 1.022E-11    -915.8 8.267E-13     11.61        0.
  4560.607 1.862E-14 5.257E-12    -282.3 5.181E-13     9.531        0.
  4468.261 3.990E-15 1.370E-11    -3432. 1.345E-12     9.567        0.
  4484.235 3.990E-15 9.508E-12    -2383. 1.060E-12     8.429        0.
  4497.081 3.990E-15 1.158E-11    -2901. 9.699E-13     11.21        0.
  4514.842 3.990E-15 9.647E-12    -2418. 7.064E-13     12.83        0.
  4527.789 3.990E-15 3.797E-12    -951.7 5.953E-13     5.993        0.
  4537.347 3.990E-15 1.047E-11    -2624. 8.306E-13     11.84        0.
  4560.602 3.990E-15 5.522E-12    -1384. 5.315E-13     9.761        0.
    center      cont      flux       eqw      core     gfwhm     lfwhm
  4560.673 5.410E-15 5.424E-12    -1003. 5.361E-13     9.505        0.
    center      cont      flux       eqw      core     gfwhm     lfwhm
